epoch,loss,acc
1,3.0176630285051136,0.21068948412698413
2,1.3461514072758811,0.6056392609126984
3,0.4501044364675643,0.8983444940476191
4,0.17905631614109827,0.9665411086309523
5,0.09379082445114378,0.9835999503968254
6,0.058337903685039945,0.9903041294642857
7,0.03946001679887847,0.9940631200396826
8,0.02792378780358131,0.9958457341269841
9,0.02096279499874938,0.9970238095238095
10,0.016132378558968267,0.9977988591269841
11,0.012604587057250597,0.9983646453373016
12,0.009874951853860347,0.9988916790674603
13,0.008209897085122528,0.9990699404761905
14,0.007142051533308057,0.9991784474206349
15,0.005929293340101602,0.9993722098214286
16,0.005055395418792845,0.9994729662698413
17,0.004516539733953005,0.9994962177579365
18,0.003747726286140581,0.9996744791666666
19,0.0034716216910127846,0.9997054811507936
20,0.00327790902912735,0.9996047247023809
21,0.002809239933008535,0.9996744791666666
22,0.002799383178907668,0.9996589781746031
23,0.0022365944751072675,0.9997442336309523
24,0.0019367022452772492,0.9997984871031746
25,0.002280220977910277,0.9996744791666666
26,0.0017724660546740605,0.9998527405753969
27,0.0021614351902075764,0.9996744791666666
28,0.0016659542004437379,0.9997984871031746
29,0.0014444167272091681,0.9998294890873016
30,0.001474402116155178,0.9997984871031746
31,0.0010961532195021089,0.9998914930555556
32,0.0010125261871421355,0.9999147445436508
33,0.0008378638119052445,0.9999534970238095
34,0.0008699197203405054,0.9998992435515873
35,0.0008559350510098277,0.9998992435515873
36,0.0008918654459107312,0.9998992435515873
37,0.0010173081397032734,0.9998217385912699
38,0.0018244186993263336,0.9997054811507936
39,0.0014714330683336667,0.9997442336309523
40,0.0008653095187222038,0.9999302455357143
41,0.0006859343701517136,0.9999224950396826
42,0.0006039193499923891,0.9999224950396826
43,0.0006428929227117878,0.9999069940476191
44,0.0005431984162506913,0.9999147445436508
45,0.00048081032033974586,0.9999457465277778
46,0.0005663493227782763,0.9998992435515873
47,0.0005351837560103001,0.9999224950396826
48,0.0020358286888545584,0.9995582217261905
49,0.0011448730395978413,0.9998372395833334
50,0.0008849664547366076,0.9998294890873016
